Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",18.9.2023,1393818,1985,
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",31.3.1995,1390777,1784,
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",4.3.1957,12927,1916,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",6.11.2009,1075531,1996,
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",19.12.2011,908255,1880,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",24.2.1995,885725,1979,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",4.3.1957,14272,1989 (1887),
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",8.5.2014,1730168,1961,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",18.6.2018,1383312,1962,
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",20.9.2021,79282,1939,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31.10.1982,14693,1870,
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",18.12.2023,1316835,1998,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",15.3.2023,1996862,1818,
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",3.4.2006,1037540,1970,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2.3.2007,1043277,1905,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",18.9.2017,813672,1988,
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",22.3.2021,1590895,1973,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4.4.2022,906345,1981,
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",4.3.1957,16732,1869,
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1.7.1998,927628,1994,
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",27.5.1997,721371,1971,
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28.6.2010,1170010,1993,
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22.12.1998,815097,1972,
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",3.4.2020,1783180,"2020 (1915, United Technologiesspinoff)",
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",21.9.2020,1596783,2007,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",4.3.1957,18230,1925,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1.3.2017,1374310,1973,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",10.11.2006,1138118,1906,
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",23.9.2019,1402057,1984,
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",24.12.2018,1306830,1918,
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",30.8.2001,1140859,1985,
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",30.3.2016,1071739,1984,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",31.7.1985,1130310,1882,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27.8.2008,1324404,1946,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",14.5.2021,1100682,1947,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",2.6.1997,316709,1971,
